# z=70.0
# H0:67.4 omega_m:0.314885968880016 omega_b:0.049309230511847414 omega_nu:0.0014201463404145906 w:-1.0 wa:0.0 sigma8(z=0):0.03365144806932789
# koh d_cdm d_b d_gamma d_neutrino d_nu d_tot d_nonu d_tot_de Weyl v_newt_cdm v_newt_b v_b_cdm
1.048503e-05 3.410242e+05 3.410242e+05 4.546960e+05 4.546958e+05 3.752808e+05 3.412114e+05 3.410242e+05 3.493581e+05 -6.035137e-01 3.396344e+05 3.396343e+05 2.803240e-01
1.157745e-05 3.410242e+05 3.410242e+05 4.546954e+05 4.546951e+05 3.752804e+05 3.412113e+05 3.410242e+05 3.493581e+05 -6.035136e-01 3.396343e+05 3.396343e+05 3.095305e-01
1.278368e-05 3.410242e+05 3.410242e+05 4.546945e+05 4.546942e+05 3.752799e+05 3.412113e+05 3.410242e+05 3.493580e+05 -6.035135e-01 3.396343e+05 3.396343e+05 3.417799e-01
1.411559e-05 3.410242e+05 3.410242e+05 4.546935e+05 4.546931e+05 3.752793e+05 3.412113e+05 3.410242e+05 3.493580e+05 -6.035134e-01 3.396343e+05 3.396343e+05 3.773894e-01
1.558627e-05 3.410241e+05 3.410241e+05 4.546923e+05 4.546917e+05 3.752786e+05 3.412112e+05 3.410241e+05 3.493579e+05 -6.035132e-01 3.396342e+05 3.396342e+05 4.167089e-01
1.721018e-05 3.410241e+05 3.410240e+05 4.546908e+05 4.546902e+05 3.752776e+05 3.412112e+05 3.410241e+05 3.493578e+05 -6.035131e-01 3.396342e+05 3.396342e+05 4.601250e-01
1.900328e-05 3.410240e+05 3.410240e+05 4.546889e+05 4.546881e+05 3.752766e+05 3.412111e+05 3.410240e+05 3.493577e+05 -6.035129e-01 3.396341e+05 3.396341e+05 5.080644e-01
2.098320e-05 3.410239e+05 3.410239e+05 4.546867e+05 4.546857e+05 3.752752e+05 3.412110e+05 3.410239e+05 3.493576e+05 -6.035127e-01 3.396340e+05 3.396340e+05 5.609987e-01
2.316941e-05 3.410238e+05 3.410238e+05 4.546840e+05 4.546828e+05 3.752736e+05 3.412109e+05 3.410238e+05 3.493574e+05 -6.035124e-01 3.396339e+05 3.396339e+05 6.194479e-01
2.558339e-05 3.410237e+05 3.410237e+05 4.546807e+05 4.546792e+05 3.752716e+05 3.412108e+05 3.410237e+05 3.493572e+05 -6.035120e-01 3.396338e+05 3.396338e+05 6.839868e-01
2.824888e-05 3.410236e+05 3.410235e+05 4.546766e+05 4.546748e+05 3.752692e+05 3.412106e+05 3.410236e+05 3.493570e+05 -6.035116e-01 3.396337e+05 3.396337e+05 7.552498e-01
3.119209e-05 3.410234e+05 3.410233e+05 4.546717e+05 4.546695e+05 3.752662e+05 3.412104e+05 3.410234e+05 3.493567e+05 -6.035111e-01 3.396335e+05 3.396335e+05 8.339373e-01
3.444194e-05 3.410232e+05 3.410231e+05 4.546657e+05 4.546630e+05 3.752626e+05 3.412102e+05 3.410232e+05 3.493564e+05 -6.035105e-01 3.396333e+05 3.396332e+05 9.208230e-01
3.803039e-05 3.410229e+05 3.410228e+05 4.546583e+05 4.546551e+05 3.752582e+05 3.412099e+05 3.410229e+05 3.493560e+05 -6.035097e-01 3.396330e+05 3.396330e+05 1.016761e+00
4.199271e-05 3.410226e+05 3.410224e+05 4.546494e+05 4.546455e+05 3.752528e+05 3.412096e+05 3.410226e+05 3.493555e+05 -6.035088e-01 3.396327e+05 3.396327e+05 1.122694e+00
